"category_number","category","recommended_treatment","correction_target","adjustment_id","room_id","room","receipt_id","receipt_number","receipt_received_pacific","receipt_crop_year","receipt_is_test","receipt_is_deleted","grower","grower_lot","variety","organic","adjustment_crop_year","quantity","old_bin_count","new_bin_count","transaction_type","source","reason","bins_run_links","room_depletion_id","depletion_receipt_id","bins_depleted","room_transfer_id","actual_run_id","actual_run_revision_id","created_at","adjustment_at","adjustment_pacific","boundary_receipt_id","boundary_pacific","before_boundary"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","67","22","Evans-12","","","","","","","Gronk Orchard NON-CHILEAN","1570","FUJI","f","","-667","667","0","BinsRun","Bins Run","BinsRun","14:667:2026-07-23 22:35:00+00:f:","","","","","","","2026-07-23 15:35:43.49607+00","2026-07-23 22:35:00+00","2026-07-23 15:35:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","68","22","Evans-12","","","","","","","MFR - FUJI ORCH-BLK C","1030","FUJI","f","","-263","263","0","BinsRun","Bins Run","BinsRun","15:263:2026-07-23 22:35:00+00:f:","","","","","","","2026-07-23 15:36:05.732282+00","2026-07-23 22:35:00+00","2026-07-23 15:35:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","69","10","Lamb-17","","","","","","","MFR - FUJI ORCH-BLK B","1020","PINK","f","","-559","559","0","BinsRun","Bins Run","BinsRun","16:559:2026-07-23 22:36:00+00:f:","","","","","","","2026-07-23 15:36:33.123145+00","2026-07-23 22:36:00+00","2026-07-23 15:36:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","70","10","Lamb-17","","","","","","","MFR - FUJI ORCH-BLK E","1050","PINK","f","","-1359","1359","0","BinsRun","Bins Run","BinsRun","17:1359:2026-07-23 22:36:00+00:f:","","","","","","","2026-07-23 15:36:39.955963+00","2026-07-23 22:36:00+00","2026-07-23 15:36:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","71","32","BM-6","","","","","","","BENCH ORCHARD NON-CHILEAN","3200","GSMT","f","","-3","3","0","BinsRun","Bins Run","BinsRun","18:3:2026-07-23 22:40:00+00:f:","","","","","","","2026-07-23 15:40:52.217279+00","2026-07-23 22:40:00+00","2026-07-23 15:40:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","72","32","BM-6","","","","","","","GA Orchard","1560","GSMT","f","","-183","183","0","BinsRun","Bins Run","BinsRun","19:183:2026-07-23 22:40:00+00:f:","","","","","","","2026-07-23 15:40:59.045735+00","2026-07-23 22:40:00+00","2026-07-23 15:40:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","73","32","BM-6","","","","","","","MFR - REESE HWY BLK 1","9450","GSMT","f","","-26","26","0","BinsRun","Bins Run","BinsRun","20:26:2026-07-23 22:40:00+00:f:","","","","","","","2026-07-23 15:41:05.965738+00","2026-07-23 22:40:00+00","2026-07-23 15:40:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","74","32","BM-6","","","","","","","MFR - REESE-YELLOWJACK","9750","GSMT","f","","-21","21","0","BinsRun","Bins Run","BinsRun","21:21:2026-07-23 22:41:00+00:f:","","","","","","","2026-07-23 15:41:12.356208+00","2026-07-23 22:41:00+00","2026-07-23 15:41:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","75","32","BM-6","","","","","","","OK ORCHARD","1290","GSMT","f","","-281","281","0","BinsRun","Bins Run","BinsRun","22:281:2026-07-23 22:41:00+00:f:","","","","","","","2026-07-23 15:41:18.316612+00","2026-07-23 22:41:00+00","2026-07-23 15:41:00","99","2026-07-28 08:36:00","t"
"4","Invalid negative-balance data requiring direct cleanup","Preserve the valid linked Bins Run deduction unchanged.","no","76","7","Lamb Street 14","15","LS007","2026-06-11 13:42:00","2025","f","f","DENNIS BURKS - PESCIALLO","9490","RED","f","","-144","144","0","BinsRun","Bins Run","BinsRun","23:144:2026-07-23 22:44:00+00:f:15","","","","","","","2026-07-23 15:45:00.934944+00","2026-07-23 22:44:00+00","2026-07-23 15:44:00","99","2026-07-28 08:36:00","t"
"4","Invalid negative-balance data requiring direct cleanup","Preserve the valid linked Bins Run deduction unchanged.","no","77","7","Lamb Street 14","16","LS008","2026-06-11 14:52:00","2025","f","f","DENNIS BURKS - PESCIALLO","9490","RED","f","","-144","144","0","BinsRun","Bins Run","BinsRun","24:144:2026-07-23 22:45:00+00:f:16","","","","","","","2026-07-23 15:45:07.331177+00","2026-07-23 22:45:00+00","2026-07-23 15:45:00","99","2026-07-28 08:36:00","t"
"4","Invalid negative-balance data requiring direct cleanup","Preserve the valid linked Bins Run deduction unchanged.","no","78","7","Lamb Street 14","17","LS009","2026-06-11 15:18:00","2025","f","f","MFR - SONBAY","9660","RED","f","","-101","101","0","BinsRun","Bins Run","BinsRun","25:101:2026-07-23 22:45:00+00:f:17","","","","","","","2026-07-23 15:45:13.585081+00","2026-07-23 22:45:00+00","2026-07-23 15:45:00","99","2026-07-28 08:36:00","t"
"4","Invalid negative-balance data requiring direct cleanup","Preserve the valid linked Bins Run deduction unchanged.","no","79","7","Lamb Street 14","18","LS010","2026-06-11 15:43:00","2025","f","f","MFR - SONBAY","9660","RED","f","","-101","101","0","BinsRun","Bins Run","BinsRun","26:101:2026-07-23 22:45:00+00:f:18","","","","","","","2026-07-23 15:45:20.016882+00","2026-07-23 22:45:00+00","2026-07-23 15:45:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","80","7","Lamb Street 14","53","108832","2026-07-01 04:43:00","2025","f","f","OMAK AIRPORT-STAYMAN","1127","HONY","f","","-36","36","0","BinsRun","Bins Run","BinsRun","27:36:2026-07-23 22:45:00+00:f:53","","","","","","","2026-07-23 15:45:27.218507+00","2026-07-23 22:45:00+00","2026-07-23 15:45:00","99","2026-07-28 08:36:00","t"
